zoningmodcat,max_built_dua
00001ALC1bart3NANA,85.0
00001ALC2NANANA,45.0
00001ALC2b1NANA,42.0
00001ALC2b2NANA,41.0
00001ALC2b3NANA,43.0
00001ALC2bart1NANA,43.0
00001ALC3b3NANA,52.0
00001ALC3b3ubzNA,50.0
00001ALC4NANANA,48.0
00001ALC4b2NANA,25.0
00001ALC4b3NANA,48.0
00001NANANANA,57.0
00001NANAubzNA,8.0
00001NAb3NANA,20.0
00001NAb3ubzNA,15.0
00013CCC1bart3NANA,15.0
00013CCC2NANANA,42.0
00013CCC2b3NANA,44.0
00013CCC3_ab2NANA,48.0
00013CCC3_ab3NANA,39.0
00013CCC3_abart3NANA,46.0
00013CCC4NANANA,44.0
00013CCC4b3NANA,36.0
00013NAbart3NANA,8.0
00013WCC1_aNANANA,33.0
00013WCC1_aNAubzNA,18.0
00013WCC1_ab2NANA,18.0
00041MCO1b2NANA,39.0
00041MCO1cr4NANA,40.0
00041NANANANA,27.0
00041NANAubzNA,2.0
00041NAb2NANA,27.0
00041NAb3NANA,6.0
00081BEL1cr3ubzNA,102.0
00081CCG1_kbart2ubzNA,55.0
00081CCG1_lNANANA,113.0
00081DAL1bart2ubzNA,33.0
00081NANANANA,73.0
00081NANAubzNA,74.0
00081NAb2NANA,14.0
00081NAb3ubzNA,5.0
00081NAbrt2NANA,22.0
00081NAcr3ubzNA,103.0
00085MVW2NAexp0NA,74.0
00085NANANANA,23.0
00085NANAubzNA,111.0
00085NAb2NANA,26.0
00085NAb2ubzNA,32.0
00085SJO14b2NANA,19.0
00085SJO7lrt2NANA,97.0
00095FAI2NAubzNA,9.0
00095FAI2NAubz_npNA,2.0
00095NANANANA,4.0
00095NANAexp0NA,6.0
00095NANAubzNA,16.0
00097NANANANA,44.0
00097NANAexp0NA,41.0
00097NANAubzNA,74.0
00097NANAubz_npNA,40.0
00097SEB1NAubzNA,14.0
00097SRO1b2ubzNA,24.0
00097SRO2NAubzNA,85.0
00097SRO2b2ubzNA,17.0
00097SRO2b3ubzNA,17.0
00097SRO3b2NANA,42.0
00097SRO3b2ubzNA,42.0
00097SRO3b3NANA,44.0
00097SRO4b3ubzNA,61.0
00097SRO5NANANA,12.0
00097SRO5NAubzNA,8.0
00097SRO5b2NANA,16.0
00097SRO5b3NANA,12.0
00562ALA2NANANA,111.0
00562ALA2brt2NANA,37.0
00562NAb3NANA,102.0
00562NAbrt2NANA,111.0
00674ALB1b2NANA,46.0
00674ALB1bart2NANA,63.0
00674ALB1brt1NANA,63.0
00674NAbart2NANA,48.0
00674NAbrt1NANA,52.0
01640ACA1NANANA,41.0
01640NANANANA,11.0
02252ANT1bart3NANA,37.0
02252ANT2NANANA,38.0
02252ANT2b3NANA,37.0
02252NANANANA,40.0
02252NAb2NANA,27.0
02252NAb3NANA,21.0
05108BEL1b2NANA,56.0
05108BEL1cr3NANA,63.0
05108NANANANA,26.0
05108NAb2NANA,7.0
05108NAb3NANA,29.0
05290BEN1NANANA,79.0
05290NANANANA,127.0
06000BER1bart2NANA,28.0
06000BER2bart2NANA,276.0
06000BER3brt1NANA,134.0
06000BER4brt2NANA,26.0
06000BER5brt2NANA,24.0
06000BER6bart2NANA,25.0
06000BER6brt1NANA,111.0
06000NANANANA,20.0
06000NAb2NANA,6.0
06000NAb3NANA,28.0
06000NAbart2NANA,34.0
06000NAbrt1NANA,32.0
06000NAbrt2NANA,26.0
08142NANANANA,111.0
08142NAb2NANA,109.0
08142NAb3NANA,41.0
08310NANANANA,17.0
08310NAb3NANA,30.0
09066BUR1b3NANA,64.0
09066BUR1brt2NANA,49.0
09066BUR1cr3NANA,109.0
09892NANANANA,20.0
10345CAM1lrt3NANA,49.0
10345NANANANA,6.0
10345NAb2NANA,23.0
10345NAb3NANA,17.0
10345NAlrt3NANA,18.0
10345SJO7lrt3NANA,16.0
13882NANANANA,18.0
14190CLO1NANANA,67.0
14190NANANANA,6.0
14736CCG1_bb2NANA,56.0
14736NAb1NANA,31.0
16000CON1_bNANANA,41.0
16000CON2NANANA,139.0
16000CON2b2NANA,140.0
16000CON2bart3NANA,141.0
16000NANANANA,74.0
16000NAb2NANA,7.0
16000NAb3NANA,30.0
16000NAbart3NANA,6.0
16462NAb3NANA,27.0
16560COT1NANANA,49.0
16560COT1cr4NANA,47.0
16560NANANANA,15.0
16560NAcr4NANA,7.0
17610NANANANA,23.0
17610NAb3NANA,6.0
17610NAlrt2NANA,12.0
17610VTA1_bNANANA,46.0
17610VTA1_blrt2NANA,72.0
17918DAL1b1NANA,17.0
17918DAL1bart1NANA,108.0
17918DAL1bart2NANA,138.0
17918DAL1brt2NANA,66.0
17918DAL1lrt2NANA,112.0
17918DAL2brt1NANA,46.0
17918DAL2lrt1NANA,43.0
17918NANANANA,34.0
17918NAb1NANA,20.0
17918NAb2NANA,38.0
17918NAb3NANA,14.0
17988DAN1NANANA,48.0
17988NANANANA,15.0
19402DIX1NANANA,49.0
19402NANANANA,23.0
20018DUB1NANANA,39.0
20018DUB2bart3NANA,25.0
20018DUB3NANANA,54.0
20018DUB3b2NANA,58.0
20018NANANANA,25.0
20956EPA1NANANA,74.0
20956EPA1b3NANA,83.0
20956NANANANA,74.0
20956NAb3NANA,40.0
21796ELC1_abart2NANA,45.0
21796ELC1_bbart2NANA,45.0
21796ELC1_bbrt1NANA,45.0
21796NANANANA,3.0
21796NAbart2NANA,27.0
21796NAbrt1NANA,9.0
22594EME1b1NANA,137.0
22594EME1brt1NANA,137.0
22594NAbrt1NANA,22.0
22594OKD7brt1NANA,76.0
22594OKD8brt1NANA,63.0
23168NAb3NANA,9.0
23182FAI1NANANA,54.0
23182FAI1b2NANA,55.0
23182FAI1b3NANA,89.0
23182FAI2NANANA,19.0
23182FAI3NANANA,24.0
23182FAI3b2NANA,44.0
23182FAI4NANANA,22.0
23182FAI4b3NANA,36.0
23182NANANANA,22.0
25338NANANANA,34.0
25338NAb3NANA,34.0
26000FRE1NANANA,46.0
26000FRE1b2NANA,47.0
26000FRE1b3NANA,50.0
26000FRE1brt2NANA,43.0
26000FRE1brt3NANA,51.0
26000FRE2NANANA,62.0
26000FRE2b1NANA,65.0
26000FRE2b2NANA,61.0
26000FRE2b3NANA,66.0
26000FRE2bart2NANA,66.0
26000FRE2brt3NANA,56.0
26000FRE3NANANA,58.0
26000FRE3b2NANA,59.0
26000FRE3b3NANA,72.0
26000FRE3bart2NANA,62.0
26000FRE4NANANA,28.0
26000FRE4b3NANA,30.0
26000FRE4bart2NANA,22.0
26000NANANANA,13.0
26000NAb1NANA,23.0
26000NAb2NANA,6.0
26000NAb3NANA,16.0
29504GIL1b2NANA,99.0
29504NANANANA,12.0
29504NANAubzNA,4.0
29504NAb2NANA,24.0
29504NAb3NANA,6.0
29504VTA1_cb2NANA,108.0
33000HAY1b3NANA,35.0
33000HAY2b1NANA,158.0
33000HAY2bart2NANA,158.0
33000HAY3_ab3NANA,23.0
33000HAY3_bNANANA,84.0
33000HAY3_bbart2NANA,84.0
33000HAY4NANANA,26.0
33000HAY4b3NANA,34.0
33000HAY4bart2NANA,54.0
33000NANANANA,34.0
33000NAb2NANA,31.0
33000NAb3NANA,8.0
33000NAbart2NANA,30.0
33056NANANANA,20.0
33308HER1NANANA,24.0
33308HER2NANANA,37.0
33308HER2b1NANA,29.0
33308NANANANA,14.0
33308NAb2NANA,32.0
33308NAb3NANA,30.0
33308WCC1_gb2NANA,19.0
33798NANANANA,2.0
39122LAF1NANANA,57.0
39122LAF1bart3NANA,57.0
39122NANANANA,15.0
39122NAbart3NANA,16.0
40438NAb3NANA,34.0
41992LIV1b2NANA,178.0
41992LIV2NANANA,18.0
41992LIV3NANANA,2.0
41992NANANANA,41.0
41992NAb2NANA,31.0
43280NANANANA,74.0
43280NAb1NANA,59.0
43280NAb2NANA,63.0
43280NAb3NANA,4.0
43280NAbrt2NANA,59.0
43280VTA1_dNANANA,86.0
43280VTA1_db3NANA,84.0
46114MAR1b2NANA,44.0
46114MAR1b3NANA,48.0
46114NANANANA,29.0
46114NAb2NANA,17.0
46870EPA1NANANA,74.0
46870MEN1brt2NANA,66.0
46870MEN1cr3NANA,67.0
46870NANANANA,4.0
46870NAb3NANA,14.0
46870NAbrt2NANA,12.0
46870NAbrt3NANA,18.0
46870NAcr3NANA,15.0
47486MIL1bart1NANA,83.0
47486MIL1brt2NANA,34.0
47486NAbrt2NANA,19.0
47710NAb3NANA,93.0
47766MPT1bart1NANA,74.0
47766NAb1NANA,37.0
47766NAb2NANA,44.0
47766NAbart1NANA,56.0
47766NAlrt1NANA,38.0
49187MOR1NANANA,26.0
49187NANANANA,4.0
49278MOH1b2NANA,72.0
49278MOH1b3NANA,61.0
49278NANANANA,13.0
49278NAb2NANA,4.0
49278NAb3NANA,20.0
49670MVW1lrt1NANA,55.0
49670MVW2brt2NANA,61.0
49670MVW2cr2NANA,121.0
49670MVW2lrt1NANA,61.0
49670MVW2lrt3NANA,61.0
49670MVW3cr3NANA,74.0
49670MVW4b2NANA,46.0
49670MVW4b3NANA,47.0
49670MVW4brt2NANA,67.0
49670MVW4cr3NANA,67.0
49670MVW6NANANA,104.0
49670MVW6lrt2NANA,104.0
49670NANANANA,34.0
49670NAb2NANA,93.0
49670NAb3NANA,30.0
49670NAbrt2NANA,33.0
49670NAcr3NANA,74.0
49670NAlrt2NANA,35.0
49670NAlrt3NANA,32.0
50258NANANANA,31.0
50258NANAexp1_npNA,16.0
50258NAP1NANANA,37.0
50258NAP1b3NANA,49.0
50258NAb3NANA,13.0
50916NANANANA,23.0
50916NAb3NANA,25.0
50916NEW1NANANA,22.0
50916NEW1brt3NANA,22.0
52582NANANANA,32.0
52582NANAexp1NA,3.0
52582NAb2NANA,6.0
52582NAb3NANA,27.0
52582NAcr4NANA,33.0
53000NANANANA,27.0
53000NAb1NANA,40.0
53000NAb2NANA,30.0
53000NAbrt3NANA,113.0
53000OKD1NANANA,106.0
53000OKD1_ab2NANA,109.0
53000OKD1_ab3NANA,56.0
53000OKD1_abart1NANA,113.0
53000OKD1_abrt1NANA,123.0
53000OKD1_abrt2NANA,105.0
53000OKD1_bbrt1NANA,115.0
53000OKD1b1NANA,108.0
53000OKD1b2NANA,111.0
53000OKD1b3NANA,60.0
53000OKD1bart1NANA,105.0
53000OKD1bart3NANA,78.0
53000OKD1brt1NANA,110.0
53000OKD1brt3NANA,141.0
53000OKD1lrt2NANA,113.0
53000OKD2NANANA,55.0
53000OKD2b1NANA,84.0
53000OKD2b2NANA,56.0
53000OKD2bart1NANA,84.0
53000OKD2brt1NANA,109.0
53000OKD3bart1NANA,278.0
53000OKD3brt1NANA,204.0
53000OKD3lrt2NANA,276.0
53000OKD4b1NANA,116.0
53000OKD4b2NANA,109.0
53000OKD4brt1NANA,124.0
53000OKD4brt3NANA,122.0
53000OKD5NANANA,55.0
53000OKD5b1NANA,123.0
53000OKD5b2NANA,145.0
53000OKD5bart1NANA,159.0
53000OKD5brt1NANA,164.0
53000OKD5brt3NANA,133.0
53000OKD6b1NANA,82.0
53000OKD6b2NANA,110.0
53000OKD6bart1NANA,116.0
53000OKD6bart3NANA,114.0
53000OKD6brt1NANA,104.0
53000OKD6brt2NANA,112.0
53000OKD6lrt2NANA,115.0
53000OKD7b1NANA,120.0
53000OKD7b2NANA,80.0
53000OKD7b3NANA,123.0
53000OKD7bart1NANA,153.0
53000OKD7brt1NANA,119.0
53000OKD7brt3NANA,122.0
53000OKD7lrt2NANA,116.0
53000OKD8b2NANA,78.0
53000OKD8bart2NANA,95.0
53000OKD8bart3NANA,104.0
53000OKD8brt1NANA,109.0
53000OKD8brt2NANA,117.0
53070NANANANA,9.0
53070NAb3NANA,14.0
53070OAK1NANANA,43.0
53070OAK1NAexp1NA,43.0
53070OAK1b2NANA,43.0
53070OAK2b3NANA,50.0
53070OAK3b3NANA,46.0
54232NANANANA,2.0
54232NAbart3NANA,6.0
54232ORI1bart3NANA,44.0
54806NANANANA,6.0
54806NAb2NANA,10.0
54806NAb3NANA,12.0
55282NAb1NANA,37.0
55282NAb2NANA,37.0
55282NAb3NANA,34.0
55282NAbrt2NANA,38.0
55282NAbrt3NANA,4.0
55282NAcr3NANA,39.0
55282PAL1cr3NANA,87.0
56784NANANANA,28.0
56784NAb3NANA,28.0
56784NAcr4NANA,31.0
56784PET1NANANA,93.0
56784PET1cr4NANA,32.0
57288PIN1b2NANA,74.0
57288PIN1b3NANA,84.0
57288PIN2b3NANA,17.0
57456NANANANA,24.0
57456NAb2NANA,12.0
57456PIT1NANANA,55.0
57456PIT1b2NANA,56.0
57456PIT1bart3NANA,55.0
57456PIT2NANANA,85.0
57764NANANANA,7.0
57764NAb2NANA,18.0
57764NAb3NANA,17.0
57764PLH2NANANA,22.0
57792NANANANA,27.0
57792NAb2NANA,29.0
57792NAb3NANA,28.0
57792PLE1NANANA,38.0
57792PLE1b2NANA,41.0
57792PLE1bart3NANA,38.0
60102NANANANA,41.0
60102NAb2NANA,36.0
60102NAb3NANA,29.0
60102NAbrt2NANA,41.0
60102NAcr2NANA,30.0
60102RWC1cr2NANA,208.0
60102RWC2b3NANA,167.0
60102RWC3b2NANA,39.0
60102RWC3brt2NANA,93.0
60102RWC3cr2NANA,167.0
60620CCC2NANANA,46.0
60620ELC1_abart2NANA,38.0
60620ELC1_bbrt1NANA,32.0
60620NANANANA,78.0
60620NAb2NANA,74.0
60620NAb3NANA,75.0
60620NAbart2NANA,28.0
60620NAbrt1NANA,74.0
60620RIC1_aNANANA,87.0
60620RIC1_ab2NANA,86.0
60620RIC1_ab3NANA,66.0
60620RIC1_abart2NANA,89.0
60620RIC1_abrt1NANA,86.0
60620RIC1_bNANANA,86.0
60620RIC1_bbart2NANA,81.0
60620RIC2NANANA,84.0
60620RIC2b2NANA,76.0
60620RIC2b3NANA,85.0
60620RIC2bart2NANA,35.0
60620WCC1_cb3NANA,42.0
60620WCC1_cbart2NANA,87.0
60620WCC1_cbrt1NANA,90.0
60984NANANANA,11.0
62546NANANANA,39.0
62546NAcr4NANA,30.0
62546ROH1NANANA,73.0
62546ROH2NANANA,54.0
62546ROH2b3NANA,61.0
62546ROH2cr4NANA,74.0
62980NAb2NANA,11.0
64140NANANANA,22.0
64434NAb2NANA,19.0
64434NAb3NANA,6.0
65028NAb3NANA,38.0
65028SBR1b3NANA,28.0
65028SBR1bart2NANA,70.0
65028SBR1brt2NANA,44.0
65028SBR1cr3NANA,43.0
65028SBR1cr4NANA,35.0
65070NAb3NANA,36.0
65070NAcr3NANA,38.0
65070SCA1cr3NANA,50.0
67000NAb1NANA,87.0
67000NAb2NANA,78.0
67000NAbart1NANA,37.0
67000NAbrt1NANA,72.0
67000NAlrt1NANA,93.0
67000NAlrt2NANA,74.0
67000SFO10b1NANA,238.0
67000SFO10bart1NANA,70.0
67000SFO10lrt1NANA,111.0
67000SFO10lrt2NANA,102.0
67000SFO11bart1NANA,338.0
67000SFO11lrt1NANA,339.0
67000SFO12b1NANA,46.0
67000SFO12bart1NANA,67.0
67000SFO12brt1NANA,35.0
67000SFO12lrt1NANA,70.0
67000SFO12lrt2NANA,102.0
67000SFO1b1NANA,105.0
67000SFO1b2NANA,93.0
67000SFO1brt1NANA,105.0
67000SFO1cr2NANA,93.0
67000SFO1lrt1NANA,120.0
67000SFO2bart1NANA,92.0
67000SFO2lrt2NANA,78.0
67000SFO3bart1NANA,409.0
67000SFO3brt1NANA,230.0
67000SFO3lrt1NANA,239.0
67000SFO3lrt2NANA,290.0
67000SFO4b1NANA,241.0
67000SFO4bart1NANA,239.0
67000SFO4brt1NANA,206.0
67000SFO4cr2NANA,222.0
67000SFO4lrt1NANA,242.0
67000SFO5lrt1NANA,102.0
67000SFO6bart1NANA,121.0
67000SFO6lrt1NANA,241.0
67000SFO6lrt1NAopp1,102.0
67000SFO6lrt2NANA,102.0
67000SFO7bart1NANA,487.0
67000SFO8b2NANA,74.0
67000SFO9_bcr3NANA,120.0
67000SFO9_blrt1NANA,123.0
68000NANANANA,94.0
68000NAb1NANA,92.0
68000NAb2NANA,38.0
68000NAb3NANA,49.0
68000NAbrt1NANA,21.0
68000NAbrt2NANA,33.0
68000NAlrt2NANA,111.0
68000NAlrt3NANA,93.0
68000SJO10NANANA,76.0
68000SJO10b3NANA,92.0
68000SJO10lrt2NANA,80.0
68000SJO10lrt3NANA,74.0
68000SJO11b1NANA,84.0
68000SJO11b2NANA,78.0
68000SJO12b2NANA,84.0
68000SJO12b3NANA,62.0
68000SJO13NANANA,94.0
68000SJO13b3NANA,95.0
68000SJO14b2NANA,86.0
68000SJO14lrt3NANA,83.0
68000SJO15b2NANA,85.0
68000SJO16NANANA,84.0
68000SJO16b2NANA,84.0
68000SJO16b3NANA,84.0
68000SJO17lrt2NANA,84.0
68000SJO18lrt2NANA,111.0
68000SJO19b2NANA,83.0
68000SJO1bart1NANA,345.0
68000SJO1lrt1NANA,275.0
68000SJO2b2NANA,99.0
68000SJO3NANANA,111.0
68000SJO3b3NANA,114.0
68000SJO3lrt1NANA,148.0
68000SJO4b1NANA,123.0
68000SJO4b2NANA,119.0
68000SJO4b3NANA,123.0
68000SJO4bart1NANA,139.0
68000SJO4brt1NANA,105.0
68000SJO4brt2NANA,107.0
68000SJO4lrt1NANA,133.0
68000SJO4lrt2NANA,239.0
68000SJO4lrt3NANA,120.0
68000SJO5NANANA,107.0
68000SJO5b3NANA,137.0
68000SJO5bart2NANA,140.0
68000SJO6NANANA,2.0
68000SJO6b2NANA,3.0
68000SJO6lrt2NANA,3.0
68000SJO7b2NANA,182.0
68000SJO7bart1NANA,106.0
68000SJO7lrt2NANA,184.0
68000SJO7lrt3NANA,112.0
68000SJO8b1NANA,85.0
68000SJO8b2NANA,83.0
68000SJO8b3NANA,87.0
68000SJO8bart2NANA,140.0
68000SJO8brt1NANA,117.0
68000SJO8brt2NANA,60.0
68000SJO8lrt2NANA,138.0
68000SJO9lrt2NANA,85.0
68000VTA1_iNANANA,24.0
68000VTA1_ib1NANA,107.0
68000VTA1_ib2NANA,111.0
68000VTA1_ib3NANA,87.0
68000VTA1_ibart1NANA,22.0
68000VTA1_ibrt2NANA,87.0
68000VTA1_ilrt2NANA,139.0
68000VTA1_ilrt3NANA,83.0
68084NANANANA,9.0
68084NAbart1NANA,20.0
68084SLE1b1NANA,54.0
68084SLE1bart1NANA,62.0
68084SLE2b1NANA,45.0
68084SLE2b2NANA,44.0
68084SLE2brt1NANA,37.0
68084SLE3bart1NANA,110.0
68084SLE3brt1NANA,109.0
68252NANANANA,37.0
68252NAb3NANA,37.0
68252NAcr3NANA,47.0
68252SMA1cr3NANA,97.0
68252SMA2NANANA,61.0
68252SMA2brt2NANA,92.0
68252SMA2cr3NANA,93.0
68252SMA3brt2NANA,46.0
68252SMA3cr3NANA,92.0
68252SMA4b2NANA,38.0
68252SMA4brt2NANA,46.0
68252SMA4cr3NANA,47.0
68294NANANANA,22.0
68294NAb3NANA,19.0
68294NAbrt1NANA,20.0
68294SPA1NANANA,47.0
68294SPA1brt1NANA,77.0
68294WCC1_cbrt1NANA,48.0
68364NANANANA,27.0
68364NAb1NANA,54.0
68364NAb2NANA,28.0
68364NAb3NANA,29.0
68364NAcr4NANA,27.0
68364SRA1b1NANA,68.0
68364SRA1b2NANA,67.0
68378NANANANA,20.0
68378NAb3NANA,12.0
68378SAR1NANANA,46.0
68378SAR1b3NANA,15.0
68378SAR2b2NANA,33.0
69084NANANANA,35.0
69084NAb3NANA,14.0
69084NAlrt1NANA,35.0
69084NAlrt2NANA,5.0
69084SCL1b1NANA,62.0
69084SCL1brt2NANA,73.0
69084SCL2bart2NANA,197.0
70098NANANANA,20.0
70098NAb1NANA,7.0
70098NAb2NANA,30.0
70098NAb3NANA,57.0
70098SRO1b1NANA,92.0
70098SRO1b2NANA,61.0
70098SRO1b3NANA,61.0
70098SRO1cr4NANA,36.0
70098SRO2NANANA,61.0
70098SRO2b1NANA,62.0
70098SRO2b2NANA,63.0
70098SRO2b3NANA,61.0
70098SRO3NANANA,45.0
70098SRO3NAexp1_npNA,56.0
70098SRO3b2NANA,46.0
70098SRO3b3NANA,62.0
70098SRO4NANANA,20.0
70098SRO4b1NANA,20.0
70098SRO4b2NANA,61.0
70098SRO4b3NANA,46.0
70098SRO4cr4NANA,49.0
70098SRO5NANANA,47.0
70098SRO5b2NANA,56.0
70098SRO5b3NANA,46.0
70280NANANANA,15.0
70364NAb2NANA,28.0
70770SEB1NANANA,41.0
72646NANANANA,16.0
73262CCG1_cb2NANA,41.0
73262CCG1_cbart2NANA,93.0
73262CCG1_cbrt2NANA,74.0
73262NANANANA,30.0
73262NAb2NANA,28.0
73262NAb3NANA,15.0
73262SSF1b2NANA,56.0
73262SSF1cr3NANA,76.0
75630NANANANA,12.0
75630SUI1NANANA,76.0
77000NANANANA,18.0
77000NAb1NANA,44.0
77000NAb3NANA,41.0
77000NAcr3NANA,24.0
77000NAlrt1NANA,19.0
77000SUN1NANANA,139.0
77000SUN1cr3NANA,226.0
77000SUN2brt2NANA,154.0
77000SUN2cr3NANA,201.0
77000SUN3b1NANA,139.0
77000SUN3b2NANA,139.0
77000SUN3brt2NANA,152.0
77000SUN6NANANA,48.0
77000SUN6b3NANA,45.0
77000SUN8lrt1NANA,118.0
78666NANANANA,6.0
81204NANANANA,15.0
81204NAb1NANA,15.0
81204NAb2NANA,13.0
81204NAbart2NANA,17.0
81204UNI1bart2NANA,74.0
81554NANANANA,22.0
81554NAb2NANA,20.0
81554NAb3NANA,22.0
81554VAC1b2NANA,46.0
81554VAC2NANANA,46.0
81554VAC2b3NANA,37.0
81666NANANANA,18.0
81666NAb2NANA,16.0
81666NAb3NANA,17.0
81666VAL1b1NANA,88.0
81666VAL2NANANA,36.0
81666VAL2b1NANA,48.0
81666VAL2b2NANA,61.0
81666VAL2b3NANA,49.0
83346NANANANA,20.0
83346NAb2NANA,21.0
83346NAb3NANA,21.0
83346NAbart3NANA,13.0
83346WAL1NANANA,65.0
83346WAL1b1NANA,86.0
83346WAL1b2NANA,61.0
83346WAL1b3NANA,91.0
83346WAL1bart3NANA,93.0
85922NANANANA,18.0
85922WIN1NANANA,56.0
85922WIN1cr4NANA,57.0
86440NANANANA,9.0
86930NANANANA,6.0
