superdistrict,tothh,hhincq1,hhincq2,hhincq3,hhincq4,sfdu,mfdu,totemp,agrempn,mwtempn,retempn,fpsempn,herempn,othempn,occupancy_rate,non_residential_sqft,sq_ft_per_employee,deed_restricted_units,inclusionary_units,subsidized_units,inclusionary_revenue_reduction,inclusionary_revenue_reduction_per_unit,total_subsidy,subsidy_per_unit
33,47709,9395,11340,11122,15852,32877.0,15640.0,62023,399,3548,5838,15451,22711,14076,0.983346043655,31009828.0,499.973042259,225,225.0,0.0,154584832.013,687043.697834,0.0,0.0
9,197355,73163,35038,39820,49334,45620.0,159783.0,477004,765,103190,20806,178079,101550,72614,0.960818488532,219075354.523,459.273621444,7805,7805.0,0.0,3096381579.72,396717.691187,0.0,0.0
17,142801,40261,39620,31749,31171,89044.0,52064.0,186393,157,41096,18299,29032,54292,43517,1.01199790232,116813482.014,626.705305532,1054,1054.0,0.0,859358084.938,815330.251365,0.0,0.0
16,129245,35961,30075,29380,33829,81370.0,44593.0,170660,234,46451,19274,29071,42674,32956,1.0260552702,111119773.527,651.117857301,2031,2031.0,0.0,2311385457.78,1138052.9088,0.0,0.0
15,93595,26011,17566,20155,29863,62379.0,30017.0,155881,648,17057,20357,46741,36936,34142,1.01297675224,87759097.0,562.987772724,1876,1876.0,0.0,2273069076.55,1211657.29027,0.0,0.0
18,265125,95378,64410,51823,53514,97230.0,166791.0,283892,243,21459,16176,66272,106889,72853,1.00418148556,130648385.791,460.204534793,5826,5826.0,0.0,2551787564.2,437999.925197,0.0,0.0
24,124431,40872,23788,24346,35425,95896.0,34315.0,64312,332,4930,13329,8236,21485,16000,0.955610509097,34963870.9928,543.660141075,1850,1850.0,0.0,1407523061.64,760823.276562,0.0,0.0
34,43827,9545,11357,9902,13023,27432.0,16801.0,45889,189,1751,5000,11585,18230,9134,0.990821332489,20734868.4558,451.848339598,0,0.0,0.0,0.0,0.0,0.0,0.0
30,111234,26716,22012,25076,37430,76294.0,41275.0,127021,1581,13575,14538,19132,48753,29442,0.946116748463,62579673.164,492.671866574,1310,1310.0,0.0,520758655.585,397525.691286,0.0,0.0
32,24363,4304,6157,5927,7975,18180.0,6593.0,29660,97,1572,2606,9555,10091,5739,0.983449723489,13763334.0,464.036884693,0,0.0,0.0,0.0,0.0,0.0,0.0
27,38437,7802,8250,8770,13615,29243.0,10786.0,55119,848,10016,9416,5584,17898,11357,0.960228834095,35195288.0,638.532774542,229,229.0,0.0,217841067.816,951271.038496,0.0,0.0
10,136589,27300,28525,33721,47043,87818.0,51756.0,171510,286,15050,19990,45409,61264,29511,0.97861349535,71239695.6221,415.367591523,1169,1169.0,0.0,409035243.317,349901.833462,0.0,0.0
1,116574,33762,25519,23158,34135,1728.0,117365.0,518410,390,12178,18072,272804,118285,96681,0.978848462966,217293569.61,419.153892883,1320,1320.0,0.0,873786531.876,661959.493846,0.0,0.0
3,178214,55920,40252,35091,46951,59485.0,122997.0,229073,121,10759,10455,68892,92865,45981,0.976611391809,105265347.769,459.527520784,3227,3227.0,0.0,1895199700.07,587294.608016,0.0,0.0
6,98773,22432,23133,22902,30306,56709.0,43657.0,130113,658,8855,10197,48449,40829,21125,0.984128091186,62517212.3855,480.483982273,846,846.0,0.0,596397253.334,704961.292357,0.0,0.0
31,40540,8113,7825,9192,15410,34506.0,8936.0,34607,2591,4821,4009,3958,10362,8866,0.933198287372,18087982.2395,522.66831102,307,307.0,0.0,113366456.462,369271.845154,0.0,0.0
7,96807,22379,22233,22457,29738,59729.0,38368.0,180199,1573,21035,8938,68012,48757,31884,0.986849750757,80758408.0202,448.162353954,999,999.0,0.0,742902594.933,743646.241174,0.0,0.0
19,93767,28744,24709,19191,21123,37016.0,54696.0,181691,73,9532,10012,51055,77895,33124,1.02240710049,77827077.1759,428.348554281,1281,1281.0,0.0,721721048.274,563404.409269,0.0,0.0
29,79182,18338,17431,17787,25626,56455.0,26030.0,79763,2097,9269,10367,13511,27002,17517,0.959956355701,43028452.2129,539.453784498,907,907.0,0.0,439035004.213,484051.82383,0.0,0.0
12,133554,32180,28679,32435,40260,88270.0,49032.0,130548,269,25209,14111,21745,38306,30908,0.972702509796,69878358.8657,535.269470736,1503,1503.0,0.0,461432128.716,307007.404335,0.0,0.0
23,59663,10558,11183,13585,24337,52132.0,8776.0,67227,300,3980,6314,21772,18015,16846,0.979559335391,33302565.0,495.374849391,578,578.0,0.0,670014262.826,1159194.22634,0.0,0.0
22,69426,14187,15344,15972,23923,44749.0,26244.0,81389,85,4262,7259,24260,31655,13868,0.977927401293,35964021.0,441.878153067,670,670.0,0.0,604686643.366,902517.378159,0.0,0.0
2,120475,34260,32288,24527,29400,16749.0,104315.0,107294,109,2436,7240,21801,46400,29308,0.995134804731,50693161.6907,472.469678554,1029,1029.0,0.0,678365532.893,659247.359469,0.0,0.0
5,120250,30141,29746,26884,33479,72810.0,50572.0,165005,325,24218,16720,46256,48694,28792,0.974615422023,89404531.4337,541.829225985,1079,1079.0,0.0,748465210.23,693665.625793,0.0,0.0
14,44987,11309,6844,9915,16919,34458.0,12875.0,51987,2777,9944,8994,6742,13132,10398,0.950436270678,29630048.0,569.95110316,656,656.0,0.0,369076046.722,562615.924881,0.0,0.0
8,85777,18914,19287,20400,27176,44359.0,42678.0,187717,168,13653,9494,57743,83527,23132,0.985523398095,78764296.3655,419.590641047,632,632.0,0.0,396794277.802,627839.047155,0.0,0.0
13,88542,18504,17305,22038,30695,60581.0,29706.0,71757,321,8790,11585,12436,25048,13577,0.980672743584,33302009.6119,464.0942293,1063,1063.0,0.0,323884169.626,304688.776694,0.0,0.0
11,159944,53525,28454,34144,43821,60129.0,104544.0,179181,336,18822,16151,39822,55133,48917,0.971282481038,78281861.7666,436.887068197,4875,4875.0,0.0,1051686820.22,215730.62979,0.0,0.0
20,125409,46183,31164,23858,24204,73665.0,55879.0,104097,247,12605,11092,23007,34041,23105,0.968080343358,50632709.5908,486.399315934,2672,2672.0,0.0,1888484855.83,706768.284369,0.0,0.0
28,17362,2472,3238,3896,7756,15513.0,2946.0,23897,3908,4799,2838,1990,5582,4780,0.940570995179,14326279.0,599.501150772,18,18.0,0.0,16026765.601,890375.866723,0.0,0.0
21,112317,30053,26401,24917,30946,78456.0,39124.0,155542,217,11642,19045,32721,55837,36080,0.955238986222,73316086.9611,471.358777443,1360,1360.0,0.0,925963931.453,680855.83195,0.0,0.0
4,60227,14928,16832,13054,15413,34732.0,26589.0,33015,14,890,3772,5688,14939,7712,0.982159455978,16043737.3558,485.952971552,240,240.0,0.0,322433003.393,1343470.84747,0.0,0.0
26,112569,31173,22466,24113,34817,91783.0,19555.0,102090,1867,14291,18723,10935,32554,23720,1.01105642278,54245125.8201,531.346124206,661,661.0,0.0,569063337.23,860912.764342,0.0,0.0
25,57630,13017,15209,13465,15939,38238.0,18115.0,54408,154,7056,7156,10238,17782,12022,1.02266072791,27910406.0,512.983495074,315,315.0,0.0,285458839.11,906218.536858,0.0,0.0
